SA2_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
801011001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,66,15,0,57,5,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,3,8,0,0,3,0,0,10,14,0,0,9,0,0,21,17,0,0,7,0,0,26,15,0,0,9,4,0,22,9,0,0,4,0,0,14,10,0,0,4,0,0,15,6,0,0,0,0,0,7,0,0,0,0,3,0,8,0,0,0,0,0,0,10,67,9,0,54,11,0,143
801011002,0,0,6,5,0,0,0,0,0,5,16,15,0,9,5,7,47,1232,228,12,365,41,11,1895,0,15,0,0,0,0,20,0,20,0,0,0,0,20,0,73,6,6,0,0,88,7,21,9,16,0,0,56,3,13,5,18,0,0,41,22,15,0,17,3,0,59,31,13,3,44,3,0,92,847,10,3,184,18,0,1070,659,3,0,102,18,0,786,187,0,0,33,8,0,229,40,0,0,12,0,0,56,13,0,0,3,0,0,17,4,0,0,3,0,0,3,11,0,0,8,0,0,13,19,17,0,15,7,0,57,1838,205,27,468,70,4,2614
801011003,0,0,4,5,0,0,0,0,0,7,9,3,4,9,0,0,27,936,20,17,283,118,8,1374,0,8,0,0,0,0,8,0,0,0,0,0,0,0,4,7,4,0,0,0,13,5,3,0,15,3,0,28,6,0,0,15,4,0,26,5,0,3,17,13,0,48,47,0,5,18,11,0,86,333,3,3,91,62,0,478,250,0,0,60,18,0,327,130,0,0,32,3,0,168,60,0,0,15,3,0,84,17,0,0,7,3,0,27,7,0,0,6,0,0,8,4,0,0,0,0,0,0,9,0,0,17,8,3,41,881,18,14,292,130,4,1347
801011004,0,0,0,0,0,0,0,0,0,0,3,12,0,4,0,0,20,92,167,0,85,3,0,346,0,10,0,0,0,0,10,0,8,0,0,0,0,8,0,56,0,0,0,0,60,0,25,0,3,0,0,25,0,10,0,3,0,0,19,0,8,0,3,0,0,14,0,10,0,3,0,0,18,35,25,6,24,5,0,97,44,0,0,28,4,0,77,9,0,0,4,0,0,14,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,8,4,3,28,99,163,11,74,13,3,364
801011005,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,13,154,61,0,60,9,0,280,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,28,3,3,0,0,29,0,4,0,5,0,0,14,0,6,0,6,0,0,9,0,6,0,4,0,0,9,4,5,0,9,0,0,18,47,5,0,18,0,0,66,53,3,0,24,5,0,92,27,0,0,11,0,0,31,5,0,0,0,0,0,12,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,141,60,6,81,6,0,292
801011006,0,0,0,0,0,0,0,0,0,0,4,12,0,3,0,0,19,195,114,3,98,20,3,435,0,4,0,0,0,0,4,0,3,0,0,0,0,3,0,37,0,3,0,0,38,4,17,0,3,0,0,28,0,9,0,5,0,0,12,0,11,3,3,12,0,31,3,0,3,0,0,0,13,14,20,0,22,0,0,57,86,8,0,17,0,0,110,74,0,0,20,6,0,103,15,0,0,11,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,11,0,4,0,4,23,198,121,3,93,24,4,449
801011007,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,13,149,101,0,110,12,0,373,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,27,3,5,0,0,30,0,12,0,6,0,0,24,0,13,0,5,0,0,20,0,7,0,5,0,0,13,5,7,0,6,0,0,19,25,20,0,18,0,0,66,86,4,0,48,7,0,144,49,0,0,23,3,0,74,17,0,0,5,0,0,16,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,0,0,10,185,98,5,124,14,3,429
801011008,0,0,0,0,0,0,0,0,0,0,4,21,0,5,4,0,32,223,251,3,134,15,3,629,0,12,0,0,0,0,14,0,14,0,0,0,0,14,0,100,0,4,0,0,99,0,41,0,7,0,0,46,0,17,0,0,0,0,26,0,20,5,3,5,0,27,0,10,6,7,0,0,24,66,19,0,33,8,0,124,116,5,0,40,3,0,169,31,0,0,16,0,0,53,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,9,6,3,5,0,0,23,241,240,9,120,16,0,626
801011009,0,0,0,0,0,0,4,0,0,4,0,0,0,6,0,4,8,76,44,4,52,7,4,187,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,14,0,0,0,0,13,0,10,0,3,0,0,12,0,4,0,0,0,0,4,0,5,0,0,4,0,10,4,3,0,6,0,0,13,5,6,0,4,0,0,21,36,0,0,15,0,0,51,27,0,0,11,0,0,34,5,0,0,4,0,0,15,4,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,5,0,0,10,80,46,0,48,9,0,190
801011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,21,0,26,4,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,6,5,3,0,11,0,0,17,12,5,0,5,0,0,20,7,0,0,4,0,0,12,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,18,0,24,0,0,76
801011011,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,6,116,42,0,74,8,0,237,0,4,0,0,0,0,0,0,6,0,0,0,0,7,0,10,0,0,0,0,10,0,6,0,0,0,0,10,0,0,0,3,0,0,4,0,7,0,8,0,0,17,0,0,0,4,0,0,14,13,4,0,12,0,0,33,46,3,0,20,0,0,69,30,0,0,15,0,0,47,7,0,0,0,0,0,10,0,0,0,3,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,6,0,0,14,105,42,3,71,6,0,240
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,161,49,9,59,5,0,279,0,3,0,0,0,0,3,0,4,0,0,0,0,4,0,17,0,0,0,0,22,3,5,0,0,0,0,11,0,3,3,0,0,0,11,0,0,0,0,0,0,3,30,5,0,12,0,0,48,54,5,0,24,8,0,83,37,0,0,13,0,0,45,7,0,0,7,0,0,13,12,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,11,145,44,4,64,11,3,275
801011014,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,78,81,3,67,7,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,3,0,0,36,0,18,3,0,0,0,27,0,8,3,6,0,0,6,3,3,0,3,0,0,12,5,3,0,20,0,0,28,14,6,0,17,3,0,47,41,0,0,19,0,0,65,34,0,0,5,5,0,36,0,0,0,4,0,0,8,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13,106,77,8,63,13,0,277
801011015,0,0,0,0,0,0,0,0,0,0,4,13,0,3,0,0,21,244,147,18,112,20,0,546,0,9,0,0,0,0,13,0,3,0,0,0,0,3,0,60,3,0,0,0,68,0,27,0,11,0,0,41,0,5,3,3,0,0,13,6,20,15,4,0,0,41,7,12,15,23,4,0,64,99,18,0,35,3,0,155,89,3,0,39,5,0,128,46,0,0,8,4,0,57,11,0,0,0,0,0,11,0,0,0,3,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,6,3,11,0,6,0,0,19,259,172,35,137,20,3,622
801011016,0,0,4,0,0,0,7,0,0,10,3,7,3,6,0,0,21,241,125,6,172,19,6,561,0,11,0,0,0,0,11,0,7,0,0,0,0,7,0,58,0,14,0,0,66,0,19,0,11,0,0,34,0,14,0,5,0,0,23,3,15,8,4,0,0,30,6,13,7,15,7,0,43,22,8,8,32,0,0,75,111,6,0,57,5,0,174,62,0,0,39,5,0,105,24,0,0,9,0,0,33,8,0,0,6,0,0,12,5,0,0,3,0,0,10,0,0,0,0,0,0,4,7,11,0,18,0,3,35,244,159,24,210,21,3,664
801011017,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,113,80,0,59,4,0,258,0,0,0,0,0,0,7,0,4,0,0,0,0,4,0,31,0,0,0,0,33,0,11,3,0,0,0,21,0,5,0,6,0,0,9,0,8,0,11,0,0,14,6,11,0,4,3,0,31,29,12,0,26,7,0,68,42,0,0,15,0,0,65,20,0,0,11,0,0,27,4,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,3,13,110,92,7,77,8,3,292
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,0,7,0,0,0,3,0,0,4,5,0,0,3,4,0,8,0,0,0,8,0,0,14,34,0,9,19,9,0,71,79,0,0,25,6,0,108,119,0,0,22,3,0,141,41,0,0,9,4,0,57,7,0,0,4,0,0,10,0,0,0,4,0,0,0,5,0,0,3,0,0,11,5,0,0,7,0,0,13,313,5,9,108,25,0,457
801011019,0,0,0,0,0,0,0,0,0,0,7,4,0,7,0,0,13,278,76,4,133,13,0,506,0,4,0,0,0,0,6,0,4,0,0,0,0,4,0,17,0,6,0,0,26,0,17,0,5,0,0,22,0,9,0,3,0,0,18,3,4,0,4,0,0,12,0,16,0,10,0,0,29,43,8,0,35,0,0,92,153,0,0,48,4,0,207,54,0,0,8,0,0,66,8,0,0,3,0,0,11,0,0,0,0,5,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,8,0,4,5,3,21,277,92,4,124,20,3,515
801011020,0,0,0,0,0,0,0,0,0,6,0,5,0,3,0,0,13,219,114,0,103,10,0,445,0,6,0,7,0,0,9,0,16,0,0,0,0,16,0,50,0,4,0,0,50,0,17,0,8,0,0,26,0,12,0,3,0,0,18,0,6,0,6,0,0,15,12,3,0,15,3,0,33,81,3,0,24,0,0,104,55,0,0,32,0,0,90,32,0,0,9,0,0,48,19,0,0,4,0,0,19,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,0,9,0,4,29,213,123,6,115,9,0,468
801011021,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,11,65,79,0,38,4,0,188,0,0,0,0,0,0,3,0,4,0,0,0,0,4,0,31,0,0,0,0,29,0,7,0,0,0,0,10,0,6,0,0,0,0,10,0,4,0,0,0,0,10,0,0,0,0,0,0,6,6,7,0,11,3,0,24,23,5,0,9,3,0,40,14,0,0,6,0,0,17,11,0,0,4,0,0,16,10,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,63,73,5,29,11,0,180
801011022,0,0,0,0,0,0,0,0,0,3,0,9,0,5,0,0,8,92,88,0,45,5,0,240,0,8,0,0,0,0,8,0,6,0,0,0,0,6,0,25,4,0,0,0,35,0,14,3,0,0,0,21,0,3,0,0,0,0,8,0,8,0,4,0,0,7,3,3,0,3,3,0,19,19,11,3,21,0,0,49,30,0,0,15,0,0,42,27,0,0,8,0,0,33,8,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,14,97,83,12,56,7,0,250
801011023,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,5,22,194,65,16,118,10,7,409,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,24,0,3,4,0,29,4,11,0,0,0,0,17,0,5,0,0,0,0,6,4,9,0,5,0,0,14,11,7,0,7,3,0,28,54,0,0,31,4,0,91,75,0,0,37,4,0,122,32,0,0,8,3,0,42,5,0,0,3,0,0,8,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,7,0,0,18,200,66,7,98,18,4,387
801011024,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,165,108,3,94,3,0,376,0,5,0,0,0,0,3,0,10,0,0,0,0,10,0,37,0,0,0,0,37,0,14,0,0,0,0,14,0,6,0,4,0,0,8,4,12,0,7,0,0,24,17,12,0,16,0,0,40,60,9,0,19,0,0,88,42,3,0,20,0,0,72,34,0,0,15,0,0,52,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,7,3,0,0,0,16,167,109,3,91,6,0,375
801011025,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,61,89,5,40,3,0,196,0,8,0,0,0,0,8,0,4,0,0,0,0,4,0,27,0,0,0,0,27,0,16,0,0,0,0,14,0,3,0,5,0,0,13,0,5,0,0,0,0,9,0,11,0,0,0,0,9,4,10,0,6,0,0,23,22,0,0,12,3,0,39,17,0,0,4,0,0,21,0,0,0,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,0,15,55,92,4,37,0,0,187
801011026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,68,4,0,47,7,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,9,10,0,0,5,0,0,18,9,0,0,12,10,0,25,19,0,0,5,0,0,20,10,0,0,6,0,0,17,13,0,0,8,0,0,21,6,0,0,5,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,62,0,0,57,10,6,133
801011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,4,5,0,14
801011144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031113,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,14,42,10,27,82,4,176,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,5,0,3,0,20,0,0,6,4,10,0,15,0,3,0,0,11,0,13,4,0,0,4,5,0,17,5,10,0,0,14,0,35,0,0,0,0,5,0,13,0,0,0,0,0,0,4,6,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,25,36,13,14,55,0,147
